Date,AMD,NVDA,INTC
2016-07-12,5.139999866485596,52.109066009521484,32.02827835083008
2016-07-13,5.090000152587891,52.089332580566406,32.09244155883789
2016-07-14,5.170000076293945,52.62226486206055,32.26660919189453
2016-07-15,5.139999866485596,52.0103759765625,32.1474494934082
2016-07-18,5.510000228881836,52.27683639526367,32.12910842895508
2016-07-19,5.409999847412109,52.81964111328125,32.22077941894531
2016-07-20,5.409999847412109,53.5104866027832,32.71577453613281
2016-07-21,5.21999979019165,52.52357482910156,31.414104461669922
2016-07-22,5.840000152587891,53.954593658447266,31.7716121673584
2016-07-25,6.699999809265137,54.95137405395508,31.799110412597656
2016-07-26,6.980000019073486,55.888946533203125,32.165775299072266
2016-07-27,6.849999904632568,55.326412200927734,31.92744255065918
2016-07-28,6.820000171661377,55.44484329223633,31.872440338134766
2016-07-29,6.860000133514404,56.3527946472168,31.95494270324707
2016-08-01,6.639999866485596,55.987640380859375,31.945777893066406
2016-08-02,6.260000228881836,55.306663513183594,31.67994499206543
2016-08-03,6.300000190734863,55.4547004699707,31.63376235961914
2016-08-04,6.46999979019165,56.48109436035156,31.938562393188477
2016-08-05,6.610000133514404,57.43839645385742,32.30799865722656
2016-08-08,6.679999828338623,57.97134017944336,32.3634147644043
2016-08-09,6.599999904632568,58.1193733215332,32.25257873535156
2016-08-10,6.489999771118164,57.74434280395508,31.892372131347656
2016-08-11,6.579999923706055,58.91877746582031,32.03091049194336
2016-08-12,6.730000019073486,62.21506881713867,31.929311752319336
2016-08-15,6.949999809265137,62.155853271484375,32.24334716796875
2016-08-16,6.78000020980835,61.780818939208984,32.52043151855469
2016-08-17,6.679999828338623,60.34980010986328,32.344947814941406
2016-08-18,7.039999961853027,61.28736114501953,32.29875946044922
2016-08-19,7.619999885559082,61.445274353027344,32.54813766479492
2016-08-22,7.579999923706055,61.70186996459961,32.65897750854492
2016-08-23,7.670000076293945,62.20117950439453,32.695919036865234
2016-08-24,7.429999828338623,61.24211120605469,32.46501541137695
2016-08-25,7.46999979019165,60.83673095703125,32.40959930419922
2016-08-26,7.670000076293945,61.33108901977539,32.566612243652344
